,ModelName,URL
0,CenterNet HourGlass104 512x512,https://tfhub.dev/tensorflow/centernet/hourglass_512x512/1
1,CenterNet HourGlass104 Keypoints 512x512,https://tfhub.dev/tensorflow/centernet/hourglass_512x512_kpts/1
2,CenterNet HourGlass104 1024x1024,https://tfhub.dev/tensorflow/centernet/hourglass_1024x1024/1
3,CenterNet HourGlass104 Keypoints 1024x1024,https://tfhub.dev/tensorflow/centernet/hourglass_1024x1024_kpts/1
4,CenterNet Resnet50 V1 FPN 512x512,https://tfhub.dev/tensorflow/centernet/resnet50v1_fpn_512x512/1
5,CenterNet Resnet50 V1 FPN Keypoints 512x512,https://tfhub.dev/tensorflow/centernet/resnet50v1_fpn_512x512_kpts/1
6,CenterNet Resnet101 V1 FPN 512x512,https://tfhub.dev/tensorflow/centernet/resnet101v1_fpn_512x512/1
7,CenterNet Resnet50 V2 512x512,https://tfhub.dev/tensorflow/centernet/resnet50v2_512x512/1
8,CenterNet Resnet50 V2 Keypoints 512x512,https://tfhub.dev/tensorflow/centernet/resnet50v2_512x512_kpts/1
9,EfficientDet D0 512x512,https://tfhub.dev/tensorflow/efficientdet/d0/1
10,EfficientDet D1 640x640,https://tfhub.dev/tensorflow/efficientdet/d1/1
11,EfficientDet D2 768x768,https://tfhub.dev/tensorflow/efficientdet/d2/1
12,EfficientDet D3 896x896,https://tfhub.dev/tensorflow/efficientdet/d3/1
13,EfficientDet D4 1024x1024,https://tfhub.dev/tensorflow/efficientdet/d4/1
14,EfficientDet D5 1280x1280,https://tfhub.dev/tensorflow/efficientdet/d5/1
15,EfficientDet D6 1280x1280,https://tfhub.dev/tensorflow/efficientdet/d6/1
16,EfficientDet D7 1536x1536,https://tfhub.dev/tensorflow/efficientdet/d7/1
17,SSD MobileNet v2 320x320,https://tfhub.dev/tensorflow/ssd_mobilenet_v2/2
18,SSD MobileNet V1 FPN 640x640,https://tfhub.dev/tensorflow/ssd_mobilenet_v1/fpn_640x640/1
19,SSD MobileNet V2 FPNLite 320x320,https://tfhub.dev/tensorflow/ssd_mobilenet_v2/fpnlite_320x320/1
20,SSD MobileNet V2 FPNLite 640x640,https://tfhub.dev/tensorflow/ssd_mobilenet_v2/fpnlite_640x640/1
21,SSD ResNet50 V1 FPN 640x640 (RetinaNet50),https://tfhub.dev/tensorflow/retinanet/resnet50_v1_fpn_640x640/1
22,SSD ResNet50 V1 FPN 1024x1024 (RetinaNet50),https://tfhub.dev/tensorflow/retinanet/resnet50_v1_fpn_1024x1024/1
23,SSD ResNet101 V1 FPN 640x640 (RetinaNet101),https://tfhub.dev/tensorflow/retinanet/resnet101_v1_fpn_640x640/1
24,SSD ResNet101 V1 FPN 1024x1024 (RetinaNet101),https://tfhub.dev/tensorflow/retinanet/resnet101_v1_fpn_1024x1024/1
25,SSD ResNet152 V1 FPN 640x640 (RetinaNet152),https://tfhub.dev/tensorflow/retinanet/resnet152_v1_fpn_640x640/1
26,SSD ResNet152 V1 FPN 1024x1024 (RetinaNet152),https://tfhub.dev/tensorflow/retinanet/resnet152_v1_fpn_1024x1024/1
27,Faster R-CNN ResNet50 V1 640x640,https://tfhub.dev/tensorflow/faster_rcnn/resnet50_v1_640x640/1
28,Faster R-CNN ResNet50 V1 1024x1024,https://tfhub.dev/tensorflow/faster_rcnn/resnet50_v1_1024x1024/1
29,Faster R-CNN ResNet50 V1 800x1333,https://tfhub.dev/tensorflow/faster_rcnn/resnet50_v1_800x1333/1
30,Faster R-CNN ResNet101 V1 640x640,https://tfhub.dev/tensorflow/faster_rcnn/resnet101_v1_640x640/1
31,Faster R-CNN ResNet101 V1 1024x1024,https://tfhub.dev/tensorflow/faster_rcnn/resnet101_v1_1024x1024/1
32,Faster R-CNN ResNet101 V1 800x1333,https://tfhub.dev/tensorflow/faster_rcnn/resnet101_v1_800x1333/1
33,Faster R-CNN ResNet152 V1 640x640,https://tfhub.dev/tensorflow/faster_rcnn/resnet152_v1_640x640/1
34,Faster R-CNN ResNet152 V1 1024x1024,https://tfhub.dev/tensorflow/faster_rcnn/resnet152_v1_1024x1024/1
35,Faster R-CNN ResNet152 V1 800x1333,https://tfhub.dev/tensorflow/faster_rcnn/resnet152_v1_800x1333/1
36,Faster R-CNN Inception ResNet V2 640x640,https://tfhub.dev/tensorflow/faster_rcnn/inception_resnet_v2_640x640/1
37,Faster R-CNN Inception ResNet V2 1024x1024,https://tfhub.dev/tensorflow/faster_rcnn/inception_resnet_v2_1024x1024/1
38,Mask R-CNN Inception ResNet V2 1024x1024,https://tfhub.dev/tensorflow/mask_rcnn/inception_resnet_v2_1024x1024/1
